Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9341,fabianlo1912,,None,None,1.232184,,0,1,1,0,1,1,9,0.21015,0.222392,0
9342,kdoyinde,,None,None,0.462647,,0,2,2,0,2,2,10,0.202459,0.213242,0
9343,Lizzie_Cv,,anr,anr,0.964758,,0,1,1,0,1,1,11,0.169334,0.175725,0
9344,BenchoBasabe,,pdp,pdp,4.765217,,0,27,27,0,44,44,9,0.280408,0.310754,0
9345,terezaMarti47,,None,None,2.039474,,0,24,24,0,42,42,9,0.261424,0.286772,0
9346,MarchiCiciolli,,anr,anr,0.762415,,0,20,20,0,37,37,9,0.239757,0.261161,0
9347,santi_mancuello,,None,None,4.518518,,0,1,1,0,1,1,10,0.190243,0.20113,0
9348,PayanoLina,,None,None,4.032609,,0,2,2,0,2,2,11,0.164131,0.170741,0
9349,radioamlo,,None,None,0.027477,,0,1,1,0,1,1,1,1,1,0
9350,hergoremajesty,,None,None,2.827586,,0,0,0,0,0,0,0,0,0,0
9351,Majo_Duarte,,None,None,0.288961,,2,4,6,2,5,7,9,0.21657,0.230836,179.301971
9352,DuSolNoe,,anr,anr,1.107692,,1,4,5,1,5,6,10,0.221905,0.238189,73.587731
9353,fatiigonza,,None,None,0.558233,,0,1,1,0,1,1,9,0.23731,0.25257,0
9354,paez_bea,,None,None,3.460938,,0,1,1,0,1,1,10,0.195074,0.204281,0
9355,virgiliof12,,None,None,5.541667,,0,1,1,0,1,1,10,0.206723,0.218502,0
9356,victorscuenca,,None,None,6,,0,1,1,0,1,1,10,0.181159,0.189369,0
9357,alis_roble,,None,None,1.226667,,0,1,1,0,1,1,2,0.6,0.666667,0
9358,kariRGG,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9359,juarezcale,,None,None,7.794872,,0,1,1,0,1,1,2,0.6,0.666667,0
9360,SilvioClarsen,,None,None,1.8,,4,4,8,11,10,21,10,0.212401,0.225941,24424.673678
9361,JulioWalter33,,plra,plra,10.1,,0,5,5,0,8,8,10,0.2208,0.237092,0
9362,ErmeBenitez3,,None,None,8.866667,,0,1,1,0,1,1,10,0.20555,0.216112,0
9363,rossannafranco,,anr,anr,2.349127,,0,1,1,0,1,1,1,1,1,0
9364,edanyferreira,,plra,plra,2.620112,,0,4,4,0,9,9,9,0.223674,0.240028,0
9365,Jusmacolofi,,None,None,1.198276,,0,2,2,0,3,3,9,0.224089,0.239951,0
9366,arturosoca,,None,None,3.72093,,1,1,2,1,2,3,9,0.243693,0.261161,0
9367,magdahansen,,None,None,0.696203,,2,4,6,3,5,8,9,0.223134,0.239755,361.464233
9368,Luichi_LBO,,None,None,4.506757,,0,1,1,0,1,1,10,0.218646,0.233216,0
9369,ayalamarilla,,None,None,0.953277,,5,6,11,5,10,15,9,0.248201,0.268616,5991.434462
9370,Lorenzofabio,,None,None,1.09009,,0,1,1,0,1,1,1,1,1,0
9371,Fabri_Sarubbi,,anr,anr,1.378731,,2,4,6,2,6,8,9,0.225713,0.243384,53.900645
9372,jeavalos02,,None,None,2.255319,,0,2,2,0,2,2,10,0.216663,0.230552,0
9373,RoMaCo2011,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9374,ifrc10py,,None,None,2.473029,,0,1,1,0,1,1,11,0.175492,0.182459,0
9375,luisdominguezok,,None,None,0.927885,,0,2,2,0,2,2,9,0.248372,0.268023,0
9376,danifili96,,None,None,2.62963,,0,1,1,0,1,1,10,0.206723,0.218502,0
9377,MarcosD35493319,,None,None,1.445596,,0,1,1,0,1,1,10,0.200952,0.212439,0
9378,Valeria8g,,anr,anr,0.35536,,1,16,17,1,17,18,9,0.260783,0.287545,154899.383082
9379,adriidoyaga,,None,None,1.050251,,0,1,1,0,1,1,9,0.222849,0.234612,0
9380,CaryOrtiz,,None,None,1.94462,,0,1,1,0,1,1,9,0.20929,0.220842,0
9381,botx484,,anr,anr,7.777778,,0,3,3,0,3,3,9,0.224459,0.23674,0
9382,iamapanicbomb,,None,None,0.416785,,0,1,1,0,1,1,11,0.184825,0.192587,0
9383,noeeliariveros,,None,None,1.328605,,0,1,1,0,1,1,10,0.209149,0.222855,0
9384,adan_morel13,,None,None,2.822222,,1,2,3,1,2,3,9,0.243749,0.26137,2
9385,26729667i86,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9386,CESARSANCHEZ553,,anr,anr,3.513158,,17,89,106,31,131,162,7,0.311078,0.348455,1427404.040441
9387,TobX600,,anr,anr,4.736842,,1,5,6,1,6,7,10,0.229018,0.241397,158.399408
9388,WalterGarciapy,,None,None,0.824324,,0,1,1,0,1,1,9,0.20927,0.220119,0
9389,MiguelNoto1,,None,None,4.833333,,0,0,0,0,0,0,0,0,0,0
9390,gusguspy,,None,None,1.773616,,0,2,2,0,2,2,10,0.199936,0.210229,0
9391,monsegf89,,None,None,2.491124,,0,1,1,0,1,1,1,1,1,0
9392,UTOPIA_ARG,,None,None,2.046683,,0,1,1,0,1,1,11,0.175549,0.1826,0
9393,RuthLortzing,,None,None,1.817434,,0,1,1,0,1,1,11,0.18825,0.198596,0
9394,JuanaMa30726253,,None,None,2.809645,,0,2,2,0,4,4,10,0.207492,0.220434,0
9395,GobSchusterAP,,anr,anr,5.266667,,6,1,7,10,4,14,0,0,0,0
9396,Arielinux,,None,None,1.80597,,0,1,1,0,1,1,9,0.20929,0.220842,0
9397,ro1912ramirez,,None,None,0.492163,,0,1,1,0,1,1,9,0.214187,0.225556,0
9398,HugoRamonEsqui5,,None,None,13,,0,1,1,0,2,2,10,0.206723,0.218502,0
9399,josequintero78,,None,None,0.164306,,0,1,1,0,1,1,1,1,1,0
9400,cesarlopezbosio,,anr,anr,2.4,,0,1,1,0,2,2,11,0.175549,0.1826,0
9401,Arturo_matto82,,None,None,0.666667,,0,1,1,0,1,1,10,0.212793,0.225462,0
9402,Esteli10798180,,None,None,2.360656,,2,1,3,2,1,3,10,0.190249,0.201138,16.080391
9403,cachochavez975,,None,None,1.575758,,0,1,1,0,1,1,10,0.205259,0.216673,0
9404,olecaram,,None,None,3.933333,,2,8,10,2,17,19,8,0.265466,0.290339,630.744361
9405,SofiaGaleano_,,anr,anr,1.95075,,0,2,2,0,3,3,9,0.217411,0.227997,0
9406,rgpg89py,,None,None,1.971564,,1,1,2,1,1,2,10,0.193632,0.203703,4348
9407,_juanprz_,,None,None,1.57947,,0,5,5,0,5,5,10,0.21496,0.228508,0
9408,pascualzarzoso,,None,None,1.931077,,0,1,1,0,1,1,11,0.175726,0.182926,0
9409,Jaag1992,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9410,NICKIREGIA,,None,None,1.310818,,0,1,1,0,1,1,2,0.6,0.666667,0
9411,nitoeubeer,,None,None,2.926108,,0,1,1,0,1,1,9,0.222849,0.234612,0
9412,Huppenkothen07,,None,None,3.538461,,0,1,1,0,1,1,10,0.179018,0.187396,0
9413,HctorCabrera18,,None,None,5.833333,,0,1,1,0,1,1,10,0.213346,0.225886,0
9414,carlosusass,,None,None,2.430657,,0,1,1,0,1,1,9,0.213441,0.226758,0
9415,ramon_zotelo,,None,None,2.313433,,0,1,1,0,1,1,10,0.209149,0.222855,0
9416,alanchaparro,,pdp,pdp,2.07027,,4,5,9,4,10,14,9,0.263455,0.287717,15.315189
9417,hugoegg73,,None,None,5.336449,,0,2,2,0,2,2,10,0.196938,0.206353,0
9418,larepublica_co,,None,None,0.000072,,0,1,1,0,1,1,10,0.178709,0.185419,0
9419,daniescobar2488,,None,None,1.969388,,0,2,2,0,2,2,10,0.210018,0.22245,0
9420,maxiayala_p,,None,None,1.119658,,6,11,17,14,18,32,9,0.258735,0.282388,18845.539948
9421,RorroB,,None,None,1.12532,,0,1,1,0,1,1,10,0.218646,0.233216,0
9422,JosiasCaceres1,,None,None,3.489796,,0,1,1,0,1,1,11,0.180273,0.188483,0
9423,Amrcito,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9424,melissaenciso,,None,None,1.212919,,1,12,13,1,17,18,9,0.235869,0.256,155.770267
9425,Rodrigo8955,,None,None,0.868421,,0,1,1,0,1,1,11,0.169334,0.175725,0
9426,GustavoAgronomo,,None,None,9.020162,,0,1,1,0,1,1,9,0.221205,0.236557,0
9427,JoacoZV115935,,None,None,5.888889,,0,1,1,0,1,1,9,0.230443,0.245394,0
9428,goyijara,,None,None,2.668539,,1,2,3,1,2,3,9,0.243749,0.26137,4348
9429,8rNbCe10xWm4F3m,,anr,anr,0.986486,,0,5,5,0,10,10,10,0.193727,0.202422,0
9430,WilsonIsaias1,,None,None,8.333333,,0,1,1,0,1,1,10,0.181159,0.189369,0
9431,marijorsg,,None,None,1.545455,,0,2,2,0,4,4,10,0.21591,0.229242,0
9432,elpibeOz,,None,None,1.435976,,0,1,1,0,1,1,11,0.169334,0.175725,0
9433,J8a6v4,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9434,uruser,,None,None,1.029304,,3,3,6,3,3,6,9,0.222092,0.234986,2931.034519
9435,Radacoga,,None,None,8.349624,,0,2,2,0,2,2,10,0.202978,0.213739,0
9436,Mauroavs67,,anr,anr,6.409836,,1,32,33,1,38,39,8,0.280488,0.3051,12552.235671
9437,paquirripy,,plra,plra,12.863636,,0,7,7,0,17,17,9,0.253557,0.274144,0
9438,Zoraida280362,,None,None,3,,0,2,2,0,2,2,11,0.183863,0.193871,0
9439,alerio_s,,plra,plra,11.697675,,0,5,5,0,7,7,10,0.225122,0.24321,0
9440,Barreja,,None,None,0.954738,,0,2,2,0,2,2,1,1,1,0
9441,CintyaColman,,None,None,1.184397,,0,1,1,0,1,1,10,0.191831,0.200088,0
9442,NoeeeGaray,,None,None,0.812963,,0,2,2,0,2,2,10,0.206772,0.218751,0
9443,AlbertRocker10,,None,None,7.922156,,1,2,3,1,2,3,10,0.223726,0.235851,0
9444,danielgburt,,None,None,3.057803,,0,1,1,0,1,1,10,0.20689,0.218825,0
9445,Joseca_000,,None,None,2.252525,,0,2,2,0,2,2,10,0.224691,0.240743,0
